 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                     Absolute temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:       5.0000
 Lenght in Y direction:       5.0000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):    1200.0000
 Temperature T2 (top border):                         700.0000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance:   0.1000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
 ========================================================================
            I           J           X           Y           T   Exact Sol
 ========================================================================
            0           0      0.0000      0.0000   1200.0000   1200.0000
            0           1      0.0000      0.0251   1200.0000   1200.0000
            0           2      0.0000      0.0503   1200.0000   1200.0000
            0           3      0.0000      0.0754   1200.0000   1200.0000
            0           4      0.0000      0.1005   1200.0000   1200.0000
            0           5      0.0000      0.1256   1200.0000   1200.0000
            0           6      0.0000      0.1508   1200.0000   1200.0000
            0           7      0.0000      0.1759   1200.0000   1200.0000
            0           8      0.0000      0.2010   1200.0000   1200.0000
            0           9      0.0000      0.2261   1200.0000   1200.0000
            0          10      0.0000      0.2513   1200.0000   1200.0000
            0          11      0.0000      0.2764   1200.0000   1200.0000
            0          12      0.0000      0.3015   1200.0000   1200.0000
            0          13      0.0000      0.3266   1200.0000   1200.0000
            0          14      0.0000      0.3518   1200.0000   1200.0000
            0          15      0.0000      0.3769   1200.0000   1200.0000
            0          16      0.0000      0.4020   1200.0000   1200.0000
            0          17      0.0000      0.4271   1200.0000   1200.0000
            0          18      0.0000      0.4523   1200.0000   1200.0000
            0          19      0.0000      0.4774   1200.0000   1200.0000
            0          20      0.0000      0.5025   1200.0000   1200.0000
            0          21      0.0000      0.5276   1200.0000   1200.0000
            0          22      0.0000      0.5528   1200.0000   1200.0000
            0          23      0.0000      0.5779   1200.0000   1200.0000
            0          24      0.0000      0.6030   1200.0000   1200.0000
            0          25      0.0000      0.6281   1200.0000   1200.0000
            0          26      0.0000      0.6533   1200.0000   1200.0000
            0          27      0.0000      0.6784   1200.0000   1200.0000
            0          28      0.0000      0.7035   1200.0000   1200.0000
            0          29      0.0000      0.7286   1200.0000   1200.0000
            0          30      0.0000      0.7538   1200.0000   1200.0000
            0          31      0.0000      0.7789   1200.0000   1200.0000
            0          32      0.0000      0.8040   1200.0000   1200.0000
            0          33      0.0000      0.8291   1200.0000   1200.0000
            0          34      0.0000      0.8543   1200.0000   1200.0000
            0          35      0.0000      0.8794   1200.0000   1200.0000
            0          36      0.0000      0.9045   1200.0000   1200.0000
            0          37      0.0000      0.9296   1200.0000   1200.0000
            0          38      0.0000      0.9548   1200.0000   1200.0000
            0          39      0.0000      0.9799   1200.0000   1200.0000
            0          40      0.0000      1.0050   1200.0000   1200.0000
            0          41      0.0000      1.0302   1200.0000   1200.0000
            0          42      0.0000      1.0553   1200.0000   1200.0000
            0          43      0.0000      1.0804   1200.0000   1200.0000
            0          44      0.0000      1.1055   1200.0000   1200.0000
            0          45      0.0000      1.1307   1200.0000   1200.0000
            0          46      0.0000      1.1558   1200.0000   1200.0000
            0          47      0.0000      1.1809   1200.0000   1200.0000
            0          48      0.0000      1.2060   1200.0000   1200.0000
            0          49      0.0000      1.2312   1200.0000   1200.0000
            0          50      0.0000      1.2563   1200.0000   1200.0000
            0          51      0.0000      1.2814   1200.0000   1200.0000
            0          52      0.0000      1.3065   1200.0000   1200.0000
            0          53      0.0000      1.3317   1200.0000   1200.0000
            0          54      0.0000      1.3568   1200.0000   1200.0000
            0          55      0.0000      1.3819   1200.0000   1200.0000
            0          56      0.0000      1.4070   1200.0000   1200.0000
            0          57      0.0000      1.4322   1200.0000   1200.0000
            0          58      0.0000      1.4573   1200.0000   1200.0000
            0          59      0.0000      1.4824   1200.0000   1200.0000
            0          60      0.0000      1.5075   1200.0000   1200.0000
            0          61      0.0000      1.5327   1200.0000   1200.0000
            0          62      0.0000      1.5578   1200.0000   1200.0000
            0          63      0.0000      1.5829   1200.0000   1200.0000
            0          64      0.0000      1.6080   1200.0000   1200.0000
            0          65      0.0000      1.6332   1200.0000   1200.0000
            0          66      0.0000      1.6583   1200.0000   1200.0000
            0          67      0.0000      1.6834   1200.0000   1200.0000
            0          68      0.0000      1.7085   1200.0000   1200.0000
            0          69      0.0000      1.7337   1200.0000   1200.0000
            0          70      0.0000      1.7588   1200.0000   1200.0000
            0          71      0.0000      1.7839   1200.0000   1200.0000
            0          72      0.0000      1.8090   1200.0000   1200.0000
            0          73      0.0000      1.8342   1200.0000   1200.0000
            0          74      0.0000      1.8593   1200.0000   1200.0000
            0          75      0.0000      1.8844   1200.0000   1200.0000
            0          76      0.0000      1.9095   1200.0000   1200.0000
            0          77      0.0000      1.9347   1200.0000   1200.0000
            0          78      0.0000      1.9598   1200.0000   1200.0000
            0          79      0.0000      1.9849   1200.0000   1200.0000
            0          80      0.0000      2.0101   1200.0000   1200.0000
            0          81      0.0000      2.0352   1200.0000   1200.0000
            0          82      0.0000      2.0603   1200.0000   1200.0000
            0          83      0.0000      2.0854   1200.0000   1200.0000
            0          84      0.0000      2.1106   1200.0000   1200.0000
            0          85      0.0000      2.1357   1200.0000   1200.0000
            0          86      0.0000      2.1608   1200.0000   1200.0000
            0          87      0.0000      2.1859   1200.0000   1200.0000
            0          88      0.0000      2.2111   1200.0000   1200.0000
            0          89      0.0000      2.2362   1200.0000   1200.0000
            0          90      0.0000      2.2613   1200.0000   1200.0000
            0          91      0.0000      2.2864   1200.0000   1200.0000
            0          92      0.0000      2.3116   1200.0000   1200.0000
            0          93      0.0000      2.3367   1200.0000   1200.0000
            0          94      0.0000      2.3618   1200.0000   1200.0000
            0          95      0.0000      2.3869   1200.0000   1200.0000
            0          96      0.0000      2.4121   1200.0000   1200.0000
            0          97      0.0000      2.4372   1200.0000   1200.0000
            0          98      0.0000      2.4623   1200.0000   1200.0000
            0          99      0.0000      2.4874   1200.0000   1200.0000
            0         100      0.0000      2.5126   1200.0000   1200.0000
            0         101      0.0000      2.5377   1200.0000   1200.0000
            0         102      0.0000      2.5628   1200.0000   1200.0000
            0         103      0.0000      2.5879   1200.0000   1200.0000
            0         104      0.0000      2.6131   1200.0000   1200.0000
            0         105      0.0000      2.6382   1200.0000   1200.0000
            0         106      0.0000      2.6633   1200.0000   1200.0000
            0         107      0.0000      2.6884   1200.0000   1200.0000
            0         108      0.0000      2.7136   1200.0000   1200.0000
            0         109      0.0000      2.7387   1200.0000   1200.0000
            0         110      0.0000      2.7638   1200.0000   1200.0000
            0         111      0.0000      2.7889   1200.0000   1200.0000
            0         112      0.0000      2.8141   1200.0000   1200.0000
            0         113      0.0000      2.8392   1200.0000   1200.0000
            0         114      0.0000      2.8643   1200.0000   1200.0000
            0         115      0.0000      2.8894   1200.0000   1200.0000
            0         116      0.0000      2.9146   1200.0000   1200.0000
