 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                 Adimensional temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:     5.000000
 Lenght in Y direction:     5.000000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):  1200.000000
 Temperature T2 (top border):                       700.000000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance: 0.100000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
                    Adimensional Values                                  
 ========================================================================
            I           J         X/L         Y/W           T   Exact Sol
 ========================================================================
            0           0    0.000000    0.000000    0.000000    0.000000
            0           1    0.000000    0.005025    0.000000    0.000000
            0           2    0.000000    0.010050    0.000000    0.000000
            0           3    0.000000    0.015075    0.000000    0.000000
            0           4    0.000000    0.020101    0.000000    0.000000
            0           5    0.000000    0.025126    0.000000    0.000000
            0           6    0.000000    0.030151    0.000000    0.000000
            0           7    0.000000    0.035176    0.000000    0.000000
            0           8    0.000000    0.040201    0.000000    0.000000
            0           9    0.000000    0.045226    0.000000    0.000000
            0          10    0.000000    0.050251    0.000000    0.000000
            0          11    0.000000    0.055276    0.000000    0.000000
            0          12    0.000000    0.060302    0.000000    0.000000
            0          13    0.000000    0.065327    0.000000    0.000000
            0          14    0.000000    0.070352    0.000000    0.000000
            0          15    0.000000    0.075377    0.000000    0.000000
            0          16    0.000000    0.080402    0.000000    0.000000
            0          17    0.000000    0.085427    0.000000    0.000000
            0          18    0.000000    0.090452    0.000000    0.000000
            0          19    0.000000    0.095477    0.000000    0.000000
            0          20    0.000000    0.100503    0.000000    0.000000
            0          21    0.000000    0.105528    0.000000    0.000000
            0          22    0.000000    0.110553    0.000000    0.000000
            0          23    0.000000    0.115578    0.000000    0.000000
            0          24    0.000000    0.120603    0.000000    0.000000
            0          25    0.000000    0.125628    0.000000    0.000000
            0          26    0.000000    0.130653    0.000000    0.000000
            0          27    0.000000    0.135678    0.000000    0.000000
            0          28    0.000000    0.140704    0.000000    0.000000
            0          29    0.000000    0.145729    0.000000    0.000000
            0          30    0.000000    0.150754    0.000000    0.000000
            0          31    0.000000    0.155779    0.000000    0.000000
            0          32    0.000000    0.160804    0.000000    0.000000
            0          33    0.000000    0.165829    0.000000    0.000000
            0          34    0.000000    0.170854    0.000000    0.000000
            0          35    0.000000    0.175879    0.000000    0.000000
            0          36    0.000000    0.180905    0.000000    0.000000
            0          37    0.000000    0.185930    0.000000    0.000000
            0          38    0.000000    0.190955    0.000000    0.000000
            0          39    0.000000    0.195980    0.000000    0.000000
            0          40    0.000000    0.201005    0.000000    0.000000
            0          41    0.000000    0.206030    0.000000    0.000000
            0          42    0.000000    0.211055    0.000000    0.000000
            0          43    0.000000    0.216080    0.000000    0.000000
            0          44    0.000000    0.221106    0.000000    0.000000
            0          45    0.000000    0.226131    0.000000    0.000000
            0          46    0.000000    0.231156    0.000000    0.000000
            0          47    0.000000    0.236181    0.000000    0.000000
            0          48    0.000000    0.241206    0.000000    0.000000
            0          49    0.000000    0.246231    0.000000    0.000000
            0          50    0.000000    0.251256    0.000000    0.000000
            0          51    0.000000    0.256281    0.000000    0.000000
            0          52    0.000000    0.261307    0.000000    0.000000
            0          53    0.000000    0.266332    0.000000    0.000000
            0          54    0.000000    0.271357    0.000000    0.000000
            0          55    0.000000    0.276382    0.000000    0.000000
            0          56    0.000000    0.281407    0.000000    0.000000
            0          57    0.000000    0.286432    0.000000    0.000000
            0          58    0.000000    0.291457    0.000000    0.000000
            0          59    0.000000    0.296482    0.000000    0.000000
            0          60    0.000000    0.301508    0.000000    0.000000
            0          61    0.000000    0.306533    0.000000    0.000000
            0          62    0.000000    0.311558    0.000000    0.000000
            0          63    0.000000    0.316583    0.000000    0.000000
            0          64    0.000000    0.321608    0.000000    0.000000
            0          65    0.000000    0.326633    0.000000    0.000000
            0          66    0.000000    0.331658    0.000000    0.000000
            0          67    0.000000    0.336683    0.000000    0.000000
            0          68    0.000000    0.341709    0.000000    0.000000
            0          69    0.000000    0.346734    0.000000    0.000000
            0          70    0.000000    0.351759    0.000000    0.000000
            0          71    0.000000    0.356784    0.000000    0.000000
            0          72    0.000000    0.361809    0.000000    0.000000
            0          73    0.000000    0.366834    0.000000    0.000000
            0          74    0.000000    0.371859    0.000000    0.000000
            0          75    0.000000    0.376884    0.000000    0.000000
            0          76    0.000000    0.381910    0.000000    0.000000
            0          77    0.000000    0.386935    0.000000    0.000000
            0          78    0.000000    0.391960    0.000000    0.000000
            0          79    0.000000    0.396985    0.000000    0.000000
            0          80    0.000000    0.402010    0.000000    0.000000
